Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality/City,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 10,Travel Agency,DOT-R10-TRA-00258-2022,TOURIST DEPOT TRAVEL AND TOURS,Misamis Oriental,Cagayan de Oro CIty,"Unit S4 2nd Floor, Cagayan Town Center, General Luna Extension",0917 708 4073,,"June 30, 2026"
,,,,,,,0917 798 8988,,
Region 10,Travel Agency,DOT-R10-TRA-00331-2022,Airlink travel services,Misamis Oriental,Cagayan de Oro CIty,Barangay Nazareth St cagayan de or city,0955 429 5533,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00280-2022,BLUE HAVEN TRAVEL AND TOURS,Misamis Oriental,Gingoog City,"Chan Bldg. National Highway, Brgy. 4 (Pob.)",0917 963 9700,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TRA-00833-2024,AMORE WORLD OF TRAVEL AND TOURS,Misamis Oriental,Cagayan de oro City,127 Lapasan Highway,0917 544 4909,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00836-2024,MYUNGJEA INC. TRAVELS AND TOURS,Misamsi Oriental,Cagayan de Oro City,"Pabayo-Hayes St., Barangay 3 (Pob.), Cagayan de Oro City",0915 290 5089 0926 254 2654,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00955-2025,RAMIGA TRAVEL AND TOURS,Misamis Oriental,Cagayan de Oro City,"1st Level East Annex, Limketkai Mall, Barangay 31",0927 425 8494,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-01015-2025(M),MERICA TRAVEL AND TOURS,Misamis Oriental,Cagayan de Oro City,"Yacapin-Velez St., Poblacion, Barangay 12",0954 428 5935,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-01047-2025,ROAM ASIA TRAVEL CORP.,Misamis Oriental,Cagayan de Oro City,"3rd Floor, Cebu CFI Community Cooperative, Tiano Brothers Corner Mabini Street, Barangay 14",0917 727 1085,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-01056-2025,PISCES TRAVEL & TOURS,Misamis Oriental,Cagayan de Oro City,"4th Floor, Casa Marga Bldg. 1526th Street, Brgy. Nazareth, Cagayan de Oro City",0917 702 7756 (088) 857 2375,,"June 30, 2026"
