Region,Enterprise Type,Enterprise Name,Accreditation No,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 5,Tour Operator,Asog Travel & Tours,DOT-R05-TOP-01529-2024,Camarines Sur,Iriga City,"Zone 5 Highway 1, San Isidro, Iriga City, Camarines Sur",9998872236,,30-Jun-26
Region 5,Tour Operator,Calaguas Ecotours Inc.,DOT-R05-TOP-00191-2021,Camarines Norte,Vinzons,"Logpond St., Brgy. Calangcawan, Vinzons, Camarines Norte",9285025738,,30-Jun-26
Region 5,Tour Operator,JMCYK Travel and Tours,DOT-R05-TOP-00202-2021,Camarines Sur,Naga City,"#55 Langka Road, Mariano Village, Brgy. Balatas, Naga City, Camarines Sur",9171140285,,30-Jun-26
Region 5,Tour Operator,Tourific Travel Services,DOT-R05-TOP-01542-2024,Albay,Daraga,"L3 B11 Rubia St., Harong Pagkamoot, Sagpon, Daraga, Albay",9923034401,,30-Jun-26
Region 5,Travel Agency,Z-Air Travel Agency,DOT-R05-TTA-01583-2024,Camarines Sur,Naga City,"3/F RM 304 ADC Bldg., Magsaysay Ave., Balatas, Naga City, Camarines Sur",9624148001,,30-Jun-26
Region 5,Travel and Tour Agency,AOL Travel and Tours,DOT-R05-TTA-00637-2022,Albay,Legazpi City,"Lot 3, Blk. 1, Guadalupe St., Our Lady's Village Annex II, Buraguis, Legazpi City, Albay 4500",09174546591 / 09175504322,,30-Jun-26
Region 5,Travel and Tour Agency,Alcharls Travel and Tours,DOT-R05-TTA-00657-2022,Camarines Sur,Naga City,"#6 Doña Elena Bldg., J Miranda Ave., Concepcion Pequeña, Naga City",09505285870-09278229837,,30-Jun-26
Region 5,Travel and Tour Agency,A.S.M. Travel & Tours Services,DOT-R05-TTA-00653-2022,Camarines Sur,Naga City,"One Magsaysay Corporate Center, Magsaysay Ave., Cor. Reno St., Concepcion Pequena, Naga City",9175032383,,30-Jun-26
Region 5,Travel and Tour Agency,Aurabell Travel and Tours,DOT-R05-TTA-01918-2025,Camarines Sur,Naga City,"Bluevox Bldg., J. Miranda Cor Princeton St., Concepcion Pequeña, Naga City, Camarines Sur",(054) 631-484 / 09293346020,,30-Jun-26
Region 5,Travel and Tour Agency,Aventura Events Travel and Tours,DOT-R05-TTA-00726-2022,Albay,Legazpi City,"AME Bldg., Room 4 G/F, Rizal St., Legazpi City, Albay",918562634,,30-Jun-26
Region 5,Travel and Tour Agency,Baitan Travel Booking Services,DOT-R05-TTA-01437-2024,Sorsogon,Casiguran,"MC Escudero St., Brgy. Central, Casiguran, Sorsogon",9455394243,,30-Jun-26
Region 5,Travel and Tour Agency,CHT Travel & Tours,DOT-R05-TTA-00624-2022,Camarines Sur,Naga City,"G/F Grand Imperial Plaza, Blgd., J. Hernandez Ave., Brgy. Abella, Naga City, Camarines Sur","(054) 205-5276, 0929-545-1104",,30-Jun-26
Region 5,Travel and Tour Agency,Camsur Viaje Services Co,DOT-R05-TTA-00660-2022,Camarines Sur,Naga City,"Door A, MMCN Building II, Mayon Avenue, Brgy. TInago, Naga City, Camarines Sur",9178363773 / (054) 881 6346,,30-Jun-26
Region 5,Travel and Tour Agency,D'Bachelor Travel and Tours,DOT-R05-TTA-00050-2020,Albay,Camalig,"2nd Flr., New Market Site Bldg., Brgy. 6, Camalig, Albay",9770989806,,30-Jun-26
Region 5,Travel and Tour Agency,D' Sorsogon Adventour Tour Services,DOT-R05-TTA-01434-2024,Sorsogon,Sorsogon City,"Narra St., Bibincahan, Sorsogon City, Sorsogon",9471606379,,30-Jun-26
Region 5,Travel and Tour Agency,Diosa Kobi Travel and Tours,DOT-R05-TTA-00621-2022,Camarines Sur,Pili,"Zone 2, San Agustin. Pili, Camarines Sur",(+63) 920 810 9078,,30-Jun-26
,,,,,,,(+63) 917 545 7377,,
Region 5,Travel and Tour Agency,Donsol Eco Tours Inc.,DOT-R05-TTA-01466-2024,Albay,Legazpi City,"G/F P&B Residences Legazpi Block 3 Lot 6 University Village, Rawis, Legazpi City",9178820042,,30-Jun-26
