Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 3,Hotel,DOT-R03-HTL-01507-2023,DUYAN PENSION HOUSE,Bataan,Orani,Sinagtala Resort,09954113615 / 09499986533 / 09988634963,https://www.duyanhouse.com,"October 31, 2025"
Region 3,Hotel,DOT-R03-HTL-00111-2021,CROWN ROYALE HOTEL & RESORT,Bataan,Balanga City,"CAPITOL DRIVE, BRGY. SAN JOSE, BALANGA CITY, BATAAN",0917-862-6493,,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00003-2020,THE PLAZA HOTEL BALANGA CITY,Bataan,BALANGA CITY,"80 JP RIZAL, BRGY. POBLACION, BALANGA CITY, BATAAN",0927 7814070,admin@theplazahotelbalanga.com,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00018-2020,Harvest Hotel,Nueva Ecija,Cabanatuan City,1179 Del Pilar Street,(044) 9508888 / 09175396125,https://www.theharvesthotel.com,"October 31, 2025"
Region 3,Hotel,DOT-R03-HTL-00451-2021,Villa Esmeralda Bryan's Resort Hotel,Nueva Ecija,Palayan City,brgy marcos village,9178973119,https://villaesmeraldaresort.com/,"October 31, 2025"
Region 3,Hotel,DOT-R03-HTL-00087-2021,FARMHOUSE HOTEL & CAFE,Nueva Ecija,San Jose City,"Zone 6, Maharlika Hwy. Barangay Caanawan, San Jose City, Nueva Ecija",,https://farmhousehotelandcafe.com/,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00112-2021,HOTEL FRANCESKO,Nueva Ecija,San Jose City,"MAHARLIKA ROAD, BRGY. MALASIN, SAN JOSE CITY, NUEVA ECIJA",044 9580988 / 0968 8823570,,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-02296-2024,STAYCATION HOTEL,Nueva Ecija,San Jose City,"STAYCATION HOTEL, ZONE 3 CAANAWAN, BRGY. CAANAWAN, SAN JOSE CITY, NUEVA ECIJA",0966 9522000,https://www.staycationhotel.net/,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00773-2022,TOP STAR HOTEL,Nueva Ecija,Cabanatuan City,"BRGY. HERMOGENES C. CONCEPCION, SR., CABANATUAN CITY, NUEVA ECIJA",(044)940-5276,,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00081-2021,BALIBAGO BUSINESS AND LEISURE HOTEL,Pampanga,Angeles City,151 Fields Avenue,9569231774,https://www.facebook.com/balibagohotelinc/,"October 31, 2025"
Region 3,Hotel,DOT-R03-HTL-00435-2021,BOOMERANG HOTEL,Pampanga,Angeles City,Angeles Pampanga,6.40E+11,https://www.boomeranghotelac.com,"October 31, 2025"
Region 3,Hotel,DOT-R03-HTL-00563-2022,Capitol Hill Hotel & Suites,Pampanga,Angeles City,Sierra Madre St Clarkview Subd Malabanias Angeles City,09771247175; 0454360557,https://www.facebook.com/chhsangeles/,"October 31, 2025"
Region 3,Hotel,DOT-R03-HTL-01509-2023,OASIS HOTEL,Pampanga,Angeles City,"CLARK PERIMETER ROAD, BALIBAGO, BRGY. ANUNAS, ANGELES CITY, PAMPANGA",045-625-8301,https://www.oasishotel.com.ph/,"October 31, 2025"
Region 3,Hotel,DOT-R03-HTL-00741-2022(M),ANGELES PALACE HOTEL CORP.,Pampanga,Angeles City,"BLK.3 LOT 1, VILLASOL SUBD., BRGY. ANUNAS, ANGELES CITY, PAMPANGA",0965 3084442,http://en.angelespalacehotel.com/,"October 31, 2025"
Region 3,Hotel,DOT-R03-HTL-00201-2021,ANGELES BEACH CLUB RESORTS CORP.,Pampanga,Angeles City,"L6, B-1 21ST ST., JOSEFA SUBD., BRGY. MALABANIAS, ANGELES CITY, PAMPANGA",045 8922222,https://www.abchotel.ph/,"October 31, 2025"
Region 3,Hotel,DOT-R03-HTL-00021-2023(M),EUROTEL ANGELES,Pampanga,Angeles City,"#21, DON JUICO AVE., BRGY. MALABANIAS, ANGELES CITY, PAMPANGA",02 8615755/0454581022-20,https://eurotel-hotel.com/Home,"October 31, 2025"
Region 3,Hotel,DOT-R03-HTL-01294-2023,HOTEL SEOUL AND HEALING SPA,Pampanga,Angeles City,"HOTEL SEOUL/CHICO ST., ABACAN ST. & E. AGUINALDO ST.,",0936-858-0442,http://somangglobalclarkcorp.com,"October 31, 2025"
Region 3,Hotel,DOT-R03-HTL-00065-2020,PRIME ASIA HOTEL AND RESTAURANT INC.,Pampanga,Angeles City,LOT 23 & 24 NARCISO ST.,9399284245,www.primeasiahotel.com,"October 31, 2025"
Region 3,Hotel,DOT-R03-HTL-02054-2024,SURESTAY STUDIO BY BEST WESTERN CLARKVIEW,Pampanga,Angeles City,"LOT 7 & 8 BLK 21 PINATUBO ST., COR. TAMARIND ST. CLARKVIEW SUBD. MALABANIAS ANGELES CITY PAMPANGA",,https://www.bestwestern.com/en_US/book/hotels-in-angeles-city/surestay-studio-by-best-western-clarkview-angeles-city/propertyCode.99109.html,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00088-2021,CLARK MARRIOTT HOTEL,Pampanga,Clark Freeport Zone,Bldg. 5398 Manuel A. Roxas Highway,045 598 5000,https://www.marriott.com,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00205-2021,MIDORI CLARK HOTEL AND CASINO,Pampanga,Clark Freeport Zone,"Kalayaan Street, C.M. Recto Avenue, Clark Freeport Zone, Philippines",0917-506-3526/045-308-8888,https://www.midorihotel.com/,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00388-2021,ROYCE HOTEL & CASINO,Pampanga,Clark Freeport Zone,"MANUEL A. ROXAS HIGHWAY CORNER NINOY AQUINO AVENUE, CLARK FREEPORT, PAMPANGA",045-499-7888,https://www.facebook.com/royceclarkph/,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00177-2021,WIDUS HOTEL CLARK,Pampanga,Clark Freeport Zone,"WIDUS HOTEL CLARK, 5400 MANUEL A. ROXAS HIGHWAY CLARK FREEPORT ZONE PAMPANGA",63453068000,https://www.hannresorts.com,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-01190-2023,Xenia Hotel,Pampanga,Clark Freeport Zone,4030 CM Recto Highway,(045) 499 0000,https://xeniahotel.ph/,"October 31, 2025"
Region 3,Hotel,DOT-R03-HTL-01909-2024,The Mansion Boutique Hotel,Pampanga,Clark,"THE VILLAGES, PRINCE BALAGTAS AVE, CLARK, 2009 PAMPANGA",045 499 8148,https://themansionatthevillages.com/,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00622-2022,SWISSOTEL CLARK PHILIPPINES,Pampanga,Clark,"BLDG. 5399, M.A ROXAS HIGHWAY, CLARK FREEPORT ZONE, PAMPANGA",045 306 2000,https://swissotelclark.com,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-02163-2024,MICROTEL BY WYNDHAM PAMPANGA,Pampanga,San Fernando City,"LGC BLVD LAUS GROUP COMPLEX, JOSE ABAD SANTOS, CITY OF SAN FERNANDO, PAMPANGA",045 028 8888,https://www.microtel-pampanga.com,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-01122-2022,CLARK IMPERIAL HOTEL,Pampanga,Angeles City,"149 22ND ST. JOSEFA SUBDIVISION, BRGY. MALABANIAS, ANGELES CITY, PAMPANGA",0915-9360-444,,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00169-2021,HOTEL GRACELANE,Pampanga,San Fernando City,"BRGY. SAN AGUSTIN, SAN FERNANDO CITY, PAMPANGA",045 4555555,info@hotelgracelane.com.ph,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-02300-2024,KOREGON VILLAS,Pampanga,CLARK,"JOSE ABAD SANTOS AVENUE , CFZ, BRGY. CLARK FREEPORT ZONE",0927 229442,koregonvillas@gmail.com,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-01232-2023,PJ INN HOTEL,Pampanga,Angeles City,"119 NARCISO ST. MALABANIAS, BRGY. MALABANIAS, ANGELES CITY, PAMPANGA",09267100140 / 0456497535,pjinnhotel@yahoo.com,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00293-2021,PACIFIC BREEZE HOTEL AND RESORT,Pampanga,Angeles City,"1888 VIAN STREET, BRGY. BALIBAGO, ANGELES CITY, PAMPANGA",045-6256494,guybrecken@pacificbreezehotel.com,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00210-2021,OLLE HOTEL,Pampanga,CLARK,"LOT 7, O'DONNEL STREET, BRGY. CLARK FREEPORT ZONE, MABALACAT CITY, PAMPANGA",0916 7785652,wclarkhotel@gmail.com,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00560-2022,CENTURY RESORT HOTEL,Pampanga,Angeles City,"VILLARICA COMPOUND MC ARTHUR HI-WAY, BRGY. BALIBAGO, ANGELES CITY, PAMPANGA",(045)888 1666,inquiry@centuryhotel.com.ph,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00121-2021,AZZURRO HOTEL BY SUNSHINE GRANDEUR,Pampanga,Angeles City,"MON TANG AVENUE MC ARTHUR HIGHWAY, BARANGAY BALIBAGO, ANGELES CITY, PAMPANGA",0998 5916128,fblicup.azzurrohotel@gmail.com,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00085-2021,"THE PENTHOUSE CONDO, HOTEL AND RESIDENCES",Pampanga,Angeles City,"4-3 A. SANTOS ST. FIELDS AVE., BRGY. BALIBAGO, ANGELES CITY, PAMPANGA",0961 2707848,admin@penthousehotel.com.ph,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00700-2022,BEST WESTERN PLUS METRO CLARK,Pampanga,Angeles City,"SAVERS MALL BLDG., MAC ARTHUR HIGHWAY, BRGY. BALIBAGO, ANGELES CITY, PAMPANGA",045 4099999,sales.bestwesternmetroclark@gmail.com,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-01081-2022,La Maja Rica Hotel,Tarlac,Tarlac City,"Mc Arthur Highway, corner Ligtasan",045 4913914,https://www.lamajaricahotel.com,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00235-2021,DUREME MANSION HOTEL AND RESORT CORPORATION,Zambales,Castillejos,MADAMGUIZ,9089949769,https://www.durememansion.com,"October 31, 2025"
Region 3,Hotel,DOT-R03-HTL-01521-2023,Aurora Subic Leisure Inc.,Zambales,Olongapo City,"Canal Rd., Cor. Labitan St. CBD SBFZ",9173287672,https://www.aurorasubic.com/en/,"October 31, 2025"
Region 3,Hotel,DOT-R03-HTL-00141-2021,LE CHARME HOTELS - SUBIC,Zambales,Olongapo City,"La Terraza Bldg. 1131 Palm St., SBFZ",(047)250-3333,https://www.lecharmehotels.com,"October 31, 2025"
Region 3,Hotel,DOT-R03-HTL-00263-2021,Subic Grand Harbour Hotel,Zambales,Olongapo City,#249 Waterfront Road,472053071,sghhgrandharbourhotel@gmail.com,"October 31, 2025"
Region 3,Hotel,DOT-R03-HTL-01464-2023,Subic Park Hotel & Restaurant,Zambales,Olongapo City,"Block 3, Lot 20, Moonbay Marina Waterfront Road, Subic Bay Freeport Zone",472522092,https://subicpark.com/,"October 31, 2025"
Region 3,Hotel,DOT-R03-HTL-02705-2025,The Lighthouse Marina Resort,Zambales,Olongapo City,"Block 4, Lot 1, Lighthouse Drive Moonbay Marina Complex, Waterfront Rd, Subic Bay Freeport Zone",047 2525000/09175123364,https://www.lighthousesubic.com/,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00008-2020,"THE SUBIC BAY YACHT CLUB, INC.",Zambales,Olongapo City,"Rizal Highway, Corner Burgos St. Subic Bay Freeport Zone",9175546411,marketing.sbyc@gmail.com,"October 31, 2025"
Region 3,Hotel,DOT-R03-HTL-00125-2021(M),SEGARA RESIDENCIAS,Zambales,Olongapo City,"SAMPSON RD., BRGY. ASINAN, OLONGAPO CITY, SBMA, ZAMBALES",0921 4427225/047 2513571,residencia@globalterminals.ph,"October 31, 2025"
Region 3,Hotel,DOT-R03-HTL-00150-2021(M),SEGARA VILLAS,Zambales,Olongapo City,"WATERFRONT RD., SUBIC BAY FREEPORT ZONE",0917 7957965/047 2528632,reservations@subicsegaravillas.com,"October 31, 2025"
Region 3,Hotel,DOT-R03-HTL-00499-2021,THE SHORELINE SUBIC INC./ THE SHORELINE SUBIC,Zambales,Olongapo City,"BLK 3 LOT 2B WATERFRONT ROAD, MOONBAY MARINA AREA, SUBIC BAY FREEPORT ZONE, BRGY. KALAKLAN, OLONGAPO CITY, ZAMBALES",0956 1834067 / 0917 1098469,Theshorelinesubic@gmail.com,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00047-2020,FREEPORT MANSION GARDEN HOTEL,Zambales,Olongapo City,"VACANT LOT BESIDE SUBIC BAY ART CENTER, CBD, SUBIC BAY FREEPORT ZONE, BRGY. PAG-ASA, OLONGAPO CITY, ZAMBALES",0998-976-8090 / (047) 250 3132,marketing.mansiongardenhotel2@gmail.com,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-02274-2024,EMERALD MANOR HOTEL,Zambales,SBMA,"8366 BOHOL STREET UPPER CUBI, SUBIC BAY FREEPORT, BRGY. ASINAN, OLONGAPO CITY, ZAMBALES",0472327363; 09684510580,geri.crownpeak@gmail.com,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00253-2021,THE ROOF BED AND BREAKFAST,Zambales,Iba,"ZONE 6, BAYTAN, IBA, ZAMBALES",0912 3671883,theroofiba@gmail.com,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00041-2020,SEORABEOL GRAND LEISURE HOTEL,Zambales,SBMA,"LOT MC-9 WATERFRONT ROAD, SUBIC BAY FREEPORT ZONE",(047) 252-2764,hm@seorabeolgrandleisurehotel.com,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00025-2020,BUENA CASA HOTEL,Zambales,SBMA,"LOT 8, 9, 10, 11 & 12 BLK 78 BETTY LANE ST. CORNER SAMPSON RD. SUBIC BAY FREEPORT ZONE",047-250-0663/64 09399071332,reservationsbuenacasasubic@gmail.com,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00060-2020,COURT MERIDIAN HOTEL & SUITES,Zambales,SBMA,"LOT B WATERFRONT ROAD CORNER ROJAS STREET CBD AREA, SBFZ, BRGY. EAST BAJAC-BAJAC, OLONGAPO CITY, ZAMBALES",(047) 252-2366,courtmeridianhotel@gmail.com,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-01859-2024,SUNBLOOM HOTEL AND RESTAURANT,Zambales,Candelaria,"Region 3, Zambales, Candelaria, Uacon",9618409916,sunbloomhotelandrestaurant@gmail.com,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-02641-2025,SUBIC RIVIERA HOTEL AND RESIDENCES,Zambales,SBMA,"Region 3, Zambales, Olongapo City, Banicain",9175282047,assubic0614@gmail.com,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-02209-2024,PARK INN BY RADISSON CLARK,PAMPANGA,Mabalacat City,"PARK INN BY RADISSON CLARK M.A. ROXAS HIGHWAY, DAU, MABALACAT, PAMPANGA",045 598 7000,cdumaraos@parkinn.co,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00988-2022,QUEST PLUS CONFERENCE CENTER- CLARK,PAMPANGA,Clark Freeport Zone,"MONTEVISTA VILLAS, ACACIA DRIVE, MIMOSA LEISURE ESTATE, CLARK FREEPORT ZONE",045 599 8000,clarkpra@questhotelsandresorts.com,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-00032-2020,MICROTEL BY WYNDHAM CABANATUAN,NUEVA ECIJA,Cabanatuan City,"PUROK 2, BARANGAY STA. ARCADIA, CABANATUAN CITY, NUEVA ECIJA",0917 688 8693,rttalbo@microtel.ph,"October 31, 2026"
Region 3,Hotel,DOT-R03-HTL-01467-2023,CENTRAL PARK TOWER RESORT,PAMPANGA,Angeles City,"888 LOURDES STREET, BARANGAY BALIBAGO, ANGELES CITY, PAMPANGA",045 458 0122,guybrecken@cpangeles.com,"October 31, 2026"
Region 3,Resort,DOT-R03-RES-00311-2021,ALIYA SURF RESORT,Aurora,Baler,"Buton st, Brgy. Sabang",9992231744,https://www.facebook.com/aliyasurfcampbaler/,"October 31, 2025"
