Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 8,Travel and Tour Agency,DOT-RO8-TTA-00733-2024,ALS Travellers Shoppe,Biliran,Naval,"Brgy. Padre Inocentes Garcia Pob. Caneja Cor.Garcia Street, Naval Biliran",(053) 500-7804 / 09292229991/09273848962,travel.shoppe@yahoo.com,"June 30, 2026"
Region 8,Travel and Tour Agency,DOT-R08-TTA-00848-2025,TRAVELSOUQ TOURS AND HOLIDAYS,Leyte,Baybay City,Domingo Veloso St. Brgy. Poblacion Zone 7 Baybay City,9158585538,travelsouq2016@gmail.com,"June 30, 2026"
Region 8,Travel and Tour Agency,DOT-R08-TTA-00319-2023,IM-Travel Corporation (Baybay Branch),Leyte,Baybay City,"Armenia Building, Corner De Deciembre St. & A. Mabini St. Baybay City, Brgy. Poblacion Zone 17",9176330500,baybay.imtravelcorporation@gmail.com,"June 30, 2026"
Region 8,Travel and Tour Agency,DOT-RO8-TTA-00699-2024,Jharen Travel and Tours,Leyte,Baybay City,"104 R. Magsaysay Ave., Poblacion Zone 9, Baybay City","09178078344, 0535637743",jharentravelandtours@yahoo.com,"June 30, 2026"
Region 8,Travel and Tour Agency,DOT-R08-TTA-0785-2025,CLOUD8 TRAVEL AND TOURS,Leyte,Tacloban City,"167 Real Street Brgy. 50, Tacloban City",9989556258,cloud8travelandtours@gmail.com,"June 30, 2026"
Region 8,Travel and Tour Agency,DOT-RO8-TTA-00784-2025,Viaje Holidays Travel Services,Leyte,Tacloban City,"Unit 2-C Door 3, 2nd Floor LY Building, Marasbaras, Tacloban City",9173049851,info@viajeholidays.ph,"June 30, 2026"
Region 8,Travel and Tour Agency,DOT-RO8-TTA-00751-2024,Smooth Travel and Tours,Leyte,Tacloban City,"Real St., Brgy. 48, Tacloban City",0916 771 5888,smoothtravelandtours24@gmail.com,"June 30, 2026"
Region 8,Travel and Tour Agency,DOT-R08-TTA-00390-2023,BLUELINE TRAVEL AND TOURS,Leyte,Tacloban City,"Sampaguita Street, Lolita Village",9367368014,info@bluelineph.com,"June 30, 2026"
Region 8,Travel and Tour Agency,OT-R08-TTA-00829-2024,JETSET MOVE TRAVEL AND TOURS,Leyte,Tacloban City,"Brgy. 64, Lot 60-61 Calanipawan Road, Bliss Sagkahan Tacloban City, Beside",9307131035,jetsetmovetravelandtours@gmail.com,"June 30, 2026"
,,,(JMCL TRAVEL AND TOURS),,,JMCL Residences,,,
Region 8,Travel and Tour Agency,DOT-RO8-TTA-00716-2024,IM-Travel Corporation (Tacloban Main),Leyte,Tacloban City,"Bldg. 157, 2f, Avenida Veteranos, Tacloban City",9176330500,tacloban.imtravelcorporation@gmail.com,"June 30, 2026"
Region 8,Travel and Tour Agency,DOT-RO8-TTA-00750-2024,HIS Travel Services - SM Branch,Leyte,Tacloban City,"3F Robinsons Place, Fatima Village, Tacloban City",0917-831-7635,histravelservices@gmail.com,"June 30, 2026"
Region 8,Travel and Tour Agency,DOT-RO8-TTA-00215-2022,Skyride Travel and Tours,Leyte,Tacloban City,Brgy.80 Marasbaras National Highway Purok Aslum Tacloban City,9158962563,roche_0821@yahoo.com,"June 30, 2026"
Region 8,Travel and Tour Agency,DOT-RO8-TTA-00690-2024,SMR Travel and Tours,Leyte,Tacloban City,"Barangay 33 221 AVENIDA VETERANOS STREET SOGORA BUILDING ROOM 01 2ND FLR , Tacloban City",9171422063,smrtravel96@yahoo.com,"June 30, 2026"
