Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 13,Homestay,DOT-R13-HMY-00535-2023,H22 LODGE,Dinagat Islands,Libjo,"P-3, BRGY. ALBOR, MUNICIPALITY OF LIBJO, PROVINCE OF DINAGAT ISLANDS",9984908484,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00511-2023,3RJA PENSION HOUSE,Dinagat Islands,San Jose,"Purok 1 Poblacion San Jose, Dinagat Islands",9501792166,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00337-2023,Along D Road Homestay,Dinagat Islands,San Jose,"P-1 San Juan, San Jose, Dinagat Islands",91771164430,,"October 31, 2026"
Region 13,Homestay,DOT-R13-HMY-00541-2023,AMAS-RA HOMESTAY,Dinagat Islands,San Jose,"P-6 Brgy. DON RUBEN, SAN JOSE, DINAGAT ISLANDS",9651799343,,"October 31, 2026"
Region 13,Homestay,DOT-R13-HMY-00532-2023,HAPPYNEST HOMESTAY,Dinagat Islands,San Jose,P-3,9499929925,,"October 31, 2026"
Region 13,Homestay,DOT-R13-HMY-00522-2023,KMRJ INN,Dinagat Islands,San Jose,P-1 Rizal,9467222930,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00011-2020,Saturn's Homestays,Dinagat Islands,San Jose,"Poblacion, San Jose, Dinagat Islands",6.39E+11,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-01096-2024,3RJA HOMESTAY,Dinagat Islands,San Jose,"San Jose, Dinagat Islands",9.50E+09,,"October 31, 2026"
Region 13,Homestay,DOT-R13-HMY-01084-2024,JBN Seaside Inn,Dinagat Islands,San Jose,"San Jose, Dinagat Islands",9.10E+09,,"October 31, 2026"
Region 13,Homestay,DOT-R13-HMY-00452-2023,Bayay ni Xian Homestay,Surigao del Norte,Dapa,"P-3 Brgy. Union, Dapa, Surigao del Norte",9209823468,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00488-2023,LA' LIZA HOUSE RENTAL,Surigao del Norte,Dapa,"Purok 7, Barangay 12 [Poblacion], Dapa, Surigao del Norte",9107297917,https://web.facebook.com/CasaLaLizahomestay,"October 31, 2026"
Region 13,Homestay,DOT-R13-HMY-00279-2022,Punta Dolores Homestead,Surigao del Norte,Dapa,"Punta Dolores Tolentino Residence Purok 6 Barangay Union, Dapa, Surigao Del Norte",9989922268,http://www.puntadolores.com,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00447-2023,ABBY HOME STAY,Surigao del Norte,General Luna,"Poblacion III General Luna, SUrigao del Norte",9773875412,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00512-2023,ABUKAY BEACH HOUSE,Surigao del Norte,General Luna,"Abukay Siargao, Brgy Catangnan",9175305362,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00196-2021,Alwin Homestay,Surigao del Norte,General Luna,"Purok 5, General Luna Surigao del Norte",9305826425,http://www.facebook.com/AlwinGonzagaHomestay,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00159-2021,ANIRADA homestay,Surigao del Norte,General Luna,"Along Tourism Road, turn left after Altrove Pizza",9175838554,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00374-2023,Ayman's Guest House,Surigao del Norte,General Luna,San Sebastian Street,09610756182/ 09070902469,https://www.facebook.com/profile.php,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00479-2023,Bayay Esteria Homestay,Surigao del Norte,General Luna,Poblacion 5 general luna surigao del norte,976 066 4134,,"October 31, 2026"
Region 13,Homestay,DOT-R13-HMY-00448-2023,BLUE HOUSE,Surigao del Norte,General Luna,POBLACION 5 GENERAL LUNA SURIGAO DEL NORTE,9481582423,,"October 31, 2026"
Region 13,Homestay,DOT-R13-HMY-00464-2023,CAMANOLO HOMESTAY,Surigao del Norte,General Luna,POB. 5 GENERAL LUNA SURIGAO DEL NORTE,9507584084,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00376-2023,CLEONOR HOMESTAY,Surigao del Norte,General Luna,"San Sebastian St. Brgy. 2, Gen. Luna, Surigao del Norte",09103409117/09661886819,,"October 31, 2026"
Region 13,Homestay,DOT-R13-HMY-00450-2023,ESCOSURA HOMESTAY,Surigao del Norte,General Luna,"BARANGAY 5 POBLACION GENERAL LUNA,SURIGAO DEL NORTE",9386979576,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00262-2022,Garden Villa Rental,Surigao del Norte,General Luna,Brgy. Catangnan,9100985233,https://abnb.me/g7MoHWyMbpb,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00245-2022,HOMELY HOMESTAY,Surigao del Norte,General Luna,"52,Saging-saging",9272348932,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00517-2023,IAO SURFING RETREAT HOUSE,Surigao del Norte,General Luna,SITIO STA. INES,9274069859,https://www.facebook.com/iaosurfcamp,"October 31, 2026"
Region 13,Homestay,DOT-R13-HMY-00526-2023,JEANNINE SUNVIBES INN,Surigao del Norte,General Luna,Purok 5,9631133876,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00454-2023,JML HOME STAY,Surigao del Norte,General Luna,TOURISM ROAD,9109419585,,"October 31, 2026"
Region 13,Homestay,DOT-R13-HMY-00439-2023,LA Homestay,Surigao del Norte,General Luna,In front of Eddie's Beach Resort,9098494366,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00206-2021,LJRC HOMESTAY,Surigao del Norte,General Luna,"PUROK 1, GENERAL LUNA, SURIGAO DEL NORTE",9207410307,,"October 31, 2026"
Region 13,Homestay,DOT-R13-HMY-00483-2023,MAHAJAB HOMESTAY,Surigao del Norte,General Luna,"Poblacion 3 Purok 3, General Luna, Siargao, Surigao del Norte",9300157769,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00266-2022,Maria tavern island homestay,Surigao del Norte,General Luna,Maria tavern island poblacion 5,9308956823,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00440-2023,May Ann Homestay,Surigao del Norte,General Luna,San Sebastian Street,9205373742,,"October 31, 2026"
Region 13,Homestay,DOT-R13-HMY-00528-2023,NINE CLOUDS RESTAURANT AND HOMESTAY,Surigao del Norte,General Luna,Purok 3,9682050258,https://www.fb.com/ninecloudsaccommodation,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00527-2023,Noguerra Homestay,Surigao del Norte,General Luna,Nissi Gas Station Brgy. 5 General Luna Surigao del Norte,9187177664,,"October 31, 2026"
Region 13,Homestay,DOT-R13-HMY-00432-2023,PANAWAN GUEST HOUSE,Surigao del Norte,General Luna,Purok 5,9175164051,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00441-2023,PASCOE'S UNIT,Surigao del Norte,General Luna,BRGY. CATANGNAN GENERAL LUNA SURIGAO DEL NORTE,9502902377,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00563-2023,PEPAYEN HOME STAY,Surigao del Norte,General Luna,"POB II, GENERAL LUNA, SURIGAO DEL NORTE",9079312738,,"October 31, 2026"
Region 13,Homestay,DOT-R13-HMY-00529-2023,RedDot Guest House,Surigao del Norte,General Luna,RedDot Guest House,9153560101,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00142-2021,RF JADE Homestay,Surigao del Norte,General Luna,barangay catangnan gen. luna surigao del norte,9381393084,,"November 2, 2024"
Region 13,Homestay,DOT-R13-HMY-00451-2023,SIERRA'S COTTAGE HOMESTAY,Surigao del Norte,General Luna,Purok 1 Sta Fe General Luna Surigao Del norte,9101707905,,"October 31, 2026"
Region 13,Homestay,DOT-R13-HMY-00538-2023,Tahanan Homestay,Surigao del Norte,General Luna,Old Tourism Rd,9661786661,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00287-2022,Tesario Retreat Apartelle,Surigao del Norte,General Luna,"Tourism Road, Tuazon",9706839702,https://tesarioretreat.wixsite.com,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00132-2021,Tomaides Place Homestay,Surigao del Norte,General Luna,"Tourism road, Poblacion 2",9507557974,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00062-2021,Triangle Palm Villas,Surigao del Norte,General Luna,"Triangle Palms, Brgy. Catangnan, General Luna",9667634970,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00375-2023,YARA HOMESTAY PENSION HOUSE,Surigao del Norte,General Luna,"Brgy 5 Pob, General Luna Surigao Del Norte",9175551233,,"October 31, 2026"
Region 13,Homestay,DOT-R13-HMY-00573-2023,Sevilla Homestay,Surigao del Norte,General Luna,"Santa Fe, General Luna, Surigao del Norte",9071898967,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00572-2023,Coconut Homestay,Surigao del Norte,General Luna,"Poblacion III General Luna, SUrigao del Norte",9565641698,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00576-2023,JMN SAILFISH BAY SURF & BIG GAME FISHING LODGE,Surigao del Norte,San Isidro,"Pacifico, San Isidro, Surigao del Norte",9159733517,,"October 31, 2026"
Region 13,Homestay,DOT-R13-HMY-00577-2023,La Freyah's Homestay,Surigao del Norte,San Isidro,"Del Carmen, San Isidro, Surigao del Norte",9171282867,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00134-2021,KAHA Island Stay,Surigao del Norte,Santa Monica,Purok 2,9688836335,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00567-2023,Czarelle Nativegarden Inn,Surigao del Norte,Socorro,"Brgy. Albino Taruc, Socorro, Surigao del Norte",9456779671,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00566-2023,JAYRA PENSION HOUSE AND RESTAURANT,Surigao del Norte,Socorro,CORDITA ST.,9859049952,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00545-2023,Villa Harkrisha Resort,Surigao del Norte,Socorro,"Burgos Street, Brgy. Albino Taruc, Socorro, Surigao del Norte",9307506520,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00561-2023,Yojan Tourist Inn,Surigao del Norte,Socorro,"Brgy. Albino Taruc, Socorro, Surigao del Norte",9266642516,https://web.facebook.com/MarkAlvinTaruc,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00506-2023,GLC SUITES,Surigao del Sur,Bislig City,"P4 Masancay Cor. Alvar Sts. Poblacion, Bislig City",9096895502,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00508-2023,Salum Beach Resort,Surigao del Sur,Bislig City,"P3, Lawigan, Bislig City",9089601239,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00472-2023,Cagwait Island Beach House,Surigao del Sur,Cagwait,Purok 6,9467303800,https://cagwaitisland.com,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00458-2023,ERICO'S SEAFRONT RESORT,Surigao del Sur,Cagwait,Purok 6,9100886170,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00456-2023,FD'S RESORT,Surigao del Sur,Cagwait,Purok 4,9506958366,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00457-2023,Pescadores Island Resort,Surigao del Sur,Cagwait,Purok Lanzones,9092808044,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00484-2023,SEAPARK RESORT,Surigao del Sur,Cagwait,"SITIO HAGONG, BGRY. LACTUDAN, CAGWAIT SURIGAO DEL SUR",9501150554,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00241-2022,"FILOMENA LEISURE PARKS, CO.",Surigao del Sur,San Agustin,"Purok 6, Bgy Bretania, San Agustin, Surigao del Sur",9399146198,https://filomenaleisureparks.wordpress.com,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00522-2023,KMRJ INN,Dinagat Islands,San Jose,"San Jose, Dinagat Islands",9467222930,,"October 31, 2026"
Region 13,Homestay,DOT-R13-HMY-01222-2025,NOGS HOMESTAY,Surigao del Norte,Pilar,"Pilaring, Pilar, Surigao del Norte",9084131966,,"October 31, 2026"
Region 13,Homestay,DOT-R13-HMY-01216-2025,Volpe Homestay,Surigao del Norte,General Luna,"Barangay Catangnan, General Luna, Surigao del Norte",9999433514,,"October 31, 2026"
Region 13,Hotel,DOT-R13-HTL-00005-2020,"ALMONT HOTEL, INC.",Agusan del Norte,Butuan City,San Jose Street,085-342-5263,,"October 31, 2026"
Region 13,Hotel,DOT-R13-HTL-00053-2021,BALANGHAI HOTEL AND CONVENTION CENTER CORPORATION,Agusan del Norte,Butuan City,"Bacolod Street, Upper Doongan Butuan City",9985901120,,"October 31, 2024"
Region 13,Hotel,DOT-R13-HTL-00213-2021,BUTUAN GRAND PALACE HOTEL,Agusan del Norte,Butuan City,KARAGA 4 ACES BLDG.MONTALBAN ST. BUTUAN CITY,9088888150,,"October 31, 2024"
Region 13,Hotel,DOT-R13-HTL-00029-2020,Chikara Dottie's Place,Agusan del Norte,Butuan City,J.C. Aquino Ave.,9189183888,http://www.dottiesplacehotel.com,"October 31, 2026"
Region 13,Hotel,DOT-R13-HTL-00023-2020,HOTEL OAZIS,Agusan del Norte,Butuan City,J.C. AQUINO AVENUE,9179170880,,"October 31, 2026"
Region 13,Hotel,DOT-R13-HTL-00027-2020,Robinsons Land Corporation - Go Hotels Butuan,Agusan del Norte,Butuan City,"J.C Aquino Avenue, Butuan City",6.31E+12,https://www.gohotels.ph/,"October 31, 2026"
Region 13,Hotel,DOT-R13-HTL-00158-2021,Watergate Hotel Butuan,Agusan del Norte,Butuan City,J. Rosales Avenue,(085)817-1008,https://www.watergatehotelbutuan.ph,"October 31, 2026"
Region 13,Hotel,DOT-R13-HTL-00546-2023,"CLYBROS MERCHANDISING, INC. HOTEL",Surigao del Norte,Surigao City,"KM. 3, NATIONAL HIGHWAY, BRGY. LUNA, SURIGAO CITY",9464684604,,"October 31, 2024"
Region 13,Hotel,DOT-R13-HTL-00030-2020,Hotel Tavern Surigao,Surigao del Norte,Surigao City,"Brgy. Taft, Borromeo St., Surigao City",9189636182,,"October 31, 2024"
Region 13,Hotel,DOT-R13-HTL-00478-2023,"PHILIPPINE GATEWAY HOTEL, INC.",Surigao del Norte,Surigao City,"KM 2 Check point Brgy Luna, Surigao City",086-8160022,,"October 31, 2026"
Region 13,Hotel,DOT-R13-HTL-00002-2020,Villa Maria Luisa Hotel,Surigao del Sur,Tandag City,"National Highway, San Agustin Sur Tandag City",9308888801,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00223-2022,Amigotel Inn,Agusan del Norte,Butuan City,T. Calo Street,9153294578,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00281-2022,ARIANO’S INN (formerly known as ARIANOS INN AND RESTAURANT),Agusan del Norte,Butuan City,P8 BAAN HIGHWAY,(085)300-5866,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00111-2021,Beehive Lodge,Agusan del Norte,Butuan City,"Beehive Lodge, Purok 1",9091195041,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00062-2020,"ICON SUITES AND CONVENTION CENTER, INC.",Agusan del Norte,Butuan City,VILLANUEVA STREET,9177030396,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00516-2023,Johsons Pension House,Agusan del Norte,Butuan City,381 T. Calo St.,9608374656,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00313-2022,MFEJ EMBASSY HOTEL INC.,Agusan del Norte,Butuan City,"MONTILLA BOULEVARD, TEOFILO SANCHEZ STREET",09283730014/09190607714,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00215-2022,NEA LODGE & CANTEEN,Agusan del Norte,Butuan City,"P-1 NIA ROAD, BANCASI,BUTUAN CITY",09162693407/815-99-76,http://www.nealodge12@gmail.com,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00054-2021,PIETROS SQUARE CORPORATION,Agusan del Norte,Butuan City,IMADEJAS SUBD. CAPITOL BON-BON ROAD,(085) 815-52-79 / (085) 225-67-06 / 09108693606,https://www.facebook.com/pietros.square,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00278-2022,THE RED PALM SUITES AND RESTAURANT,Agusan del Norte,Butuan City,THE RED PALM SUITES AND RESTAURANT / VILLA KANANGA ROAD / BARANGAY VILLA KANANGA / BUTUAN CITY,9209108323,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00170-2021,VCDU PRINCE HOTEL-GRAND CONVENTION HALL,Agusan del Norte,Butuan City,"ILANG ILANG ST. VILLA KANANGA, BUTUAN CITY",0939 917 3615,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00170-2021,VCDU Prince Hotel,Agusan del Norte,Butuan City,"Imadejas Pob., Butuan City, Agusan del Norte",9399173615,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00944-2024,Kamalig ng Caraga,Agusan del Norte,Butuan City,"Brgy Dagohoy, Butuan City",9190805498,,"October 31, 2025"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00108-2021,Gazebo Pools & Restaurant,Agusan del Norte,Cabadbaran City,"Quarry, Barangay 9, Cabadbaran City, Agusan del Norte",0918-918-3394,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00331-2022,M & JM HOTEL,Agusan del Norte,Cabadbaran City,"F OJEDA AVENUE,CORNER B ATEGA, BRGY 10, CABADBARAN CITY",09198003959/09669033200,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00034-2020,"OCULAR BLDG, II & MANDE PENSION HOUSE",Agusan del Norte,Cabadbaran City,"Brgy. 7, Ojeda Avenue,",09183623182 / 853050106,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00098-2021,RUTH APARTELLE,Agusan del Norte,Cabadbaran City,CABILTES STREET,9128983211,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00870-2024,E - G Hotel and Resort,Agusan del Norte,Cabadbaran City,"Poblacion 7, Cabadnaran City, Agusan del Norte",0948-915-3333,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00873-2024,Manding Loreta Resort Corporation,Agusan del Norte,Cabadbaran City,"Comagascas, Cabadbaran City, Agusan del Norte",9991508292,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00876-2024,EGR GENERAL MERCHANDISE AND RESORTS INC.,Agusan del Norte,Cabadbaran City,"Mabini, Cabadbaran City, Agusan del Norte",9123218234,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-01138-2024,Ladolcevita Inland Resort,Agusan del Norte,Cabadbaran City,"Poblacion 7, Cabadbaran City, Agusan del Norte",9302189543,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00052-2021,Carmen Veranda Resort,Agusan del Norte,Carmen,"Brgy. Rojales, National Highway, Carmen, Agusan del Norte",639177267008 09098800128,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00302-2022,kimberry beach Resort & Restaurant,Agusan del Norte,Carmen,Purok papaya barangay tagcatong,9688799159,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00497-2023,Mahigalaon Beach Resort,Agusan del Norte,Carmen,"Brgy, Rojales, Carmen Agusan del Norte",9177200952,https://www.facebook.com/MahigalaonBeachResort,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00104-2021,Almas Budgetel,Agusan del Sur,Bayugan City,P-22 Sambulawan extension,(085)830-5027 / 09388950042,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00217-2022,CASA DE LOS AMANTES INN,Agusan del Sur,Bayugan City,"Purok 6, Canayugan Bayugan City",9124078219,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00903-2024,L and A Suites,Agusan del Sur,Bayugan City,"Maygatasan, Bayugan City, Agusan del Sur",9385521869,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00945-2024,Cris Inn,Agusan del Sur,Bayugan City,"Maygatasan, Bayugan City, Agusan del Sur",9626841057,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-01104-2024,WESTHERN LODGING HOUSE,Agusan del Sur,Bayugan City,"P-23 Brgy. Poblacion, Bayugan City, Agusan del Sur",9476277346,,"October 31, 2025"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00960-2024,THE KIBBUTZ GUEST HOUSE AND INN,Agusan del Sur,Bayugan City,"Maygatasan, Bayugan City, Agusan del Sur",9514860818,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00323-2022,ASIA NOVO BOUTIQUE HOTEL INC.,Agusan del Sur,San Francisco,"QUEZON ST. BRGY.2, SAN FRANCISCO AGUSAN DEL SUR",9163491084,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00010-2020,Mabes Savory Place,Agusan del Sur,San Francisco,"Jacinto St. Brgy.1, San Francisco, Agusan Del Sur",9702681763,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-01083-2024,RCBI HOTEL,Agusan del Sur,San Francisco,"San Isidro, San Francisco, Agusan del Sur",9079992132,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00869-2024,Farmers Inn Hotel,Agusan del Sur,Prosperidad,"Poblacion, Prosperidad, Agusan del Sur",9476422636,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00893-2024,CN INLAND RESORT OPC,Agusan del Sur,Rosario,"PUROK 4, POBLACION ROSARIO AGUSAN DEL SUR",9472656347,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00163-2021,ISLAND VIEW SUITES,Dinagat Islands,San Jose,"P-3 SAN JOSE (POB.), SAN JOSE, DINAGAT ISLANDS",9127014467,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00322-2022,Vine's Bed and Breakfast,Dinagat Islands,San Jose,"San Jose, Dinagat Islands",9394765600,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00261-2022,Claver Suites,Surigao del Norte,Claver,"P6 Garcia St. Brgy. Tayaga, Claver, Surigao del Norte",9504844277,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00258-2022,Garcia Guest House,Surigao del Norte,Dapa,Mabini Street,9100492162,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00164-2021,Isla-Haruhay Resort OPC (formerly known as Isla-Haruhay Homestay),Surigao del Norte,Dapa,"Don Paulino, Libas",9300157769,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00244-2022,Kevin's Homestay,Surigao del Norte,Dapa,"RSK Beach, Don Paulino, Dapa Surigao del Norte",9452399690,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00165-2021,ALPAS HOSTEL SIARGAO,Surigao del Norte,General Luna,PUROK 5 GENERAL LUNA SURIGAO DEL NORTE,9176911471,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00148-2021,Arka Hayahay Surf and Beach Resort,Surigao del Norte,General Luna,"Catangnan, General Luna",9204151854,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00471-2023,Balay Yuhom,Surigao del Norte,General Luna,Lot 3118 Tourism Rd.,9178957524,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00138-2021,BLAUSET HOUSE 2,Surigao del Norte,General Luna,Purok 5,9177138094,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00183-2021,Casa Bianca,Surigao del Norte,General Luna,Casa Bianca Tourism Road General Luna Surigao del Norte,9179241397,https://www.casabiancasiargao.com,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00043-2020,Casa de loren,Surigao del Norte,General Luna,Casa de Loren purok 5 general luna,9063802048,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00139-2021,Clohaki Hostel,Surigao del Norte,General Luna,Purok 5,"09176223916, 09171504202, 09323894942, 09171763323",https://www.facebook.com/balayhayahaysiargao,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00182-2021,CUADRO INN,Surigao del Norte,General Luna,POBLACION 2 GENERAL LUNA SURIGAO DEL NORTE,9121975430,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00085-2021,DahunVillas Resort,Surigao del Norte,General Luna,"Dahun Villas Siargao, Malinao, General Luna",9171381251,https://web.facebook.com/dahunvillassiargao/,"October 31, 2024"
