Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 12,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R12-AGT-00041-2021,Felicidad Orchard and Garden Organics,Chartered City,General Santos City,"Conel Road, Purok 9-B , Barangay Katangawan, General Santos City",9228985121,,"October 3, 2025"
Region 12,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R12-00064-2021,Sebul Farm,South Cotabato,Lake Sebu,"Brgy. Tasiman, Lake Sebu, South Cotabato",9155172697,,"December 12, 2025"
Region 12,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R12-AGT-00083-2021,Organikian Farm,South Cotabato,Koronadal City,Barangay Morales,09177177352 / 09177175268,,"June 13, 2026"
Region12,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R12-AGT-00521-2024,"GBS III Agro Farms Learning Center, Inc.",North Cotabato,Pigcawayan,Brgy. Presbitero,9126928878,,"March 5, 2026"
Region 12,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R12-AGT-00037-2021,SCC Nature Farm,North Cotabato,Midsayap,"Green Valley, Brgy. Poblacion 8","09509739159, (064)577-0184",ovpre@southernchristiancollege.edu.ph,"May 6, 2026"
Region 12,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R12-AGT-00114-2022,River Ranch Resort Corp,Chartered City,"Tupi, South Cotabato",,,,"October 27, 2026"
Region 12,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R12-FTC-00753-2024,"Envirogreen Village Educational Foundation, Inc.",Chartered City,General Santos City,,(083) 553-4909,envirogreenfoundation@gmail.com,"November 8, 2026"
Region 12,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R12-FTC-00823-2025,JND Integrated Farm,Sarangani,Malungon,,,,"June 24, 2026"
Region 12,Hotel,HTL-R12-0006-2021,Gensan Greenleaf Hotel and Development Corporation,Chartered City,General Santos City,San Miguel St.,(083) 552 - 1111,,"October 31, 2026"
Region 12,Hotel,HTL-R12-0007-2021,East Asia Royale Hotel,Chartered City,General Santos City,Nat'l. Highway,9177155747,,"October 31, 2026"
Region 12,Hotel,DOT-R12-HTL-00728-2024,GSC Suncity Suites Hotel,Chartered City,General Santos City,Nat'l. Highway,(083) 55-3333,,"October 31, 2026"
Region 12,Hotel,DOT-R12-HTL-00156-2022,Avior Hotel,Chartered City,General Santos City,"AVIOR BLDG., I SANTIAGO BLVD",9190672616,,"October 31, 2026"
Region 12,Hotel,DOT-R12-HTL-00157-2022,Anchor Hotel,Chartered City,General Santos City,"Cagampang Extension, Santiago Boulevard",083-5526517,https://doloreshotels.ph/,"October 31, 2026"
Region 12,Hotel,DOT-R12-HTL-00019-2020,Family Country Hotel & Convention Centre,Chartered City,General Santos City,"MATEO ROAD, LAGAO",SMART 0918 258 3135 I I TEL. NOS. (083) 552 8895 TO 97,,"October 31, 2026"
Region 12,Hotel,DOT-R12-HTL-00085-2021,Grand Summit Hotel - General Santos,Chartered City,General Santos City,Honorio Arriola Street,63833200210,,"October 31, 2026"
Region 12,Hotel,DOT-R12-HTL-00013-2020,Microtel By Wyndham - General Santos,Chartered City,General Santos City,"Valley High Complex, National Highway",835538080,,"October 31, 2026"
Region 12,Hotel,DOT-R12-HTL-00071-2021,"Phela Grande Hotel, Inc.",Chartered City,General Santos City,"Magsaysay Avenue, Corner Atis Street",083-552-1771,,"October 31, 2026"
Region 12,Hotel,DOT-R12-HTL-00166-2022,Q Citipark Hotel,Chartered City,General Santos City,"#36E Roxas ave., cor. JP Laurel St.","09954839271, 09508259329",,"October 31, 2026"
Region 12,Hotel,DOT-R12-HTL-00226-2023,Sarangani Highlands Garden Inc.,Chartered City,General Santos City,Purok Wal,0838774822/09778416746,,"October 31, 2026"
Region 12,Hotel,DOT-R12-HTL-00223-2023,"Sydney Hotel (SAFI Realty, Inc.)",Chartered City,General Santos City,Cor. & Pioneer Pendatun Ave.,9176778204,,"October 31, 2026"
Region 12,Hotel,DOT-R12-HTL-00038-2021,"The Horizon Suites & Arcade,Inc.",Chartered City,General Santos City,"CORNER YUMANG - APARENTE STREET, PUROK MALAKAS, BRGY. SAN ISIDRO, GENERAL SANTOS CITY",9427470042,,"October 31, 2025"
Region 12,Hotel,DOT-R12-HTL-00034-2021,Venue 88 Resort and Events Place Corporation,Chartered City,General Santos City,L. Dacera Avenue Mabuhay Rd.,9171272909,,"October 31, 2026"
Region 12,Hotel,DOT-R12-HTL-00027-2021,Hotel San Marco,Chartered City,General Santos City,"Jose P Laurel St., Brgy. Dadiangas East, General Santos City",9177065343,,"October 31, 2026"
Region 12,Hotel,DOT-R12-HTL-00828-2025,Gensan View Hotel,Chartered City,General Santos City,,,,"October 31, 2026"
Region 12,Hotel,DOT-R12-HTL-00002-2020,Hotel De Viajera,South Cotabato,Koronadal City,"LOT 12 BLOCK 2, SUSCANO SUBD., NATIONAL HIGHWAY",2285113,,"October 31, 2026"
Region 12,Hotel,DOT-R12-HTL-00203-2023,Paraiso Verde Hotel,South Cotabato,Koronadal City,GENSAN DRIVE BRGY ZONE 1,9989701970,,"October 31, 2026"
Region 12,Hotel,DOT-R12-HTL-00237-2023,Habi Hotel Koronadal (formerly Villa Amor Hotel),South Cotabato,Koronadal City,Gensan Drive,(083) 228 1725,,"October 31, 2026"
Region 12,Hotel,DOT-R12-HTL-00012-2020,Carlitos Hotel,Sultan Kudarat,Isulan,"Sen. Ninoy Aquino Ave.,",0917-117-4413,,"October 31, 2026"
Region 12,Hotel,DOT-R12-HTL-00067-2021,Hotel Hexandrea,Sultan Kudarat,Isulan,"Roundball, Kalawag 3",9485409629,,"October 31, 2026"
Region 12,Hotel,DOT-R12-HTL-00713-2024,Park-lay Suites,North Cotabato,Kidapawan City,,,,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00006-2020,3G Garden Hotel,Chartered City,General Santos City,"Yusepeng road, National Highway",09165666333; 09321000300; 09083423000; 825 3000,,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00068-2021,Aloha GSC Suites,Chartered City,General Santos City,"Bughaw St., Brgy. Dadiangas Heights",,,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00098-2022,Columbus Plaza Hotel (Keys Realty and Development Corporation),Chartered City,General Santos City,"OSMENA CORNER CHAMPACA STREETS, DADIANGAS EAST, GENERAL SANTOS CITY",9778053315,,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00518-2024,Driggs Suites,Chartered City,General Santos City,"JP Laurel St., Brgy Dadiangas North",9257285476,driggssuites@yahoo.com,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00519-2024,Driggs Pension House,Chartered City,General Santos City,"Eve St. Paradise Subdivision, Brgy. City Heights",9173089731,driggspensionhouse@yahoo.com,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00250-2023,GMaya Suites,Chartered City,General Santos City,"G. Misa St., Brgy. Lagao",9517821778,,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00067-2021,Hollywood Suites,Chartered City,General Santos City,"#50 Camachili Street, Dadiangas East, General Santos City","(083) 825-1427, +63 943-467-0983",,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00255-2023,Livewire Planet Suites,Chartered City,General Santos City,Santol St. corner Balimbing St.,9083422122,,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00090-2021,Palmwoods Pensionne Home,Chartered City,General Santos City,12 Camachili Street,9328636514,,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00001-2020,RSG Microhotel,Chartered City,General Santos City,"Nunez Street, Purok Malakas, Brgy. San Isidro",9086869025,,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00770-2024,Samantha's Suites,Chartered City,General Santos City,"Blk 1 Guevarra Subdivision Purok Malakas, Aparente St.",93385550241,,"October 31, 2025"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00048-2021,Stonewood Hotel,Chartered City,General Santos City,NATIONAL HIGHWAY,083 887 3180,,"October 31, 2025"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00096-2021,Vergene Blues Paradise,Chartered City,General Santos City,"PUROK CHANGCO 1-A, BAWING, GENERAL SANTOS CITY",9088805042,,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00251-2023;00764-2024,Villa Verde Guest House,Chartered City,General Santos City,"Mirabueno Subd., Mateo Road",(083)8776385/+639177034915/+639177032602,,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00253-2023,Icon Venue and Suites,Chartered City,General Santos City,Claro. M. Recto Street General Santos City.,9228435581,,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00052-2021,ABC Landmark Hotel & Restaurant,North Cotabato,Kidapawan City,"NATIONAL HIGHWAY, QUEZON BOULEVARD, KIDAPAWAN CITY",9778339902,,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00767-2024,AJ Hi-Time Hotel,North Cotabato,Kidapawan City,JP Laurel St. corner Plaridel St.,9171428058,,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00766-2024,Sudapin Coffee,North Cotabato,Kidapawan City,Brgy. Sudapin,9171224472,,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00063-2021,Jennie's Hotel and Resort,North Cotabato,M'Lang,NATIONAL HIGHWAY,9399204329,,"October 31, 2025"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00695-2024,Buda Vista Garden Resort,North Cotabato,Arakan,,,,"October 31, 2025"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00616-2024,BG Beach House,Sarangani,Maasim,Brgy. Tinoto,9671356542,,"October 31, 2025"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00015-2020,Cocobeach Resort,Sarangani,Glan,"Gumasa, Glan, Sarangani Province",0910 674 3521,,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00816-2025,Norfolk Resort,Sarangani,Malungon,,,,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00245-2023,Sky Nature Park,Sarangani,Malungon,"Sitio Majo, Poblacion, Malungon, Sarangani Province",9171034461,,"October 31, 2025"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00058-2021,Aqua Guest House,South Cotabato,Koronadal City,"2nd Block, Amurao Subdivision",09999915732 / 09985510151 / 09985510156,,"October 31, 2025"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00714-2024,Federation Socsargen Samahang Nayon Cooperative,South Cotabato,Koronadal City,,9608265454,,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00059-2021,Golden Grain Hotel,South Cotabato,Koronadal City,Zone III (Pob.),,,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00029-2021,Greenstate Suites,South Cotabato,Koronadal City,ARELLANO STREET,083 2285409,,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00195-2023,Lantaw-Marbel Resort Hotel,South Cotabato,Koronadal City,Purok Kalikasan Brgy. Paraiso Koronadal City,9399393211,,"October 31, 2025"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00003-2020,"Winvest Summit Ventures,Inc. (Eighty Eight Hotel)",South Cotabato,Koronadal City,"601, General Santos Drive. Brgy. Zone III",#ERROR!,,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00092-2021,Centro Ultimate Water Tubing Services,South Cotabato,Lake Sebu,Proper 3,9097451167,,"October 31, 2025"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00229-2023,Dreamweavers Hill Resort,South Cotabato,Lake Sebu,"Prk. Sarisa , Brgy. Lamdalag, Lake Sebu",9173072767,,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00201-2023,Punta Isla Lake Resort,South Cotabato,Lake Sebu,"SITIO TUKOFOL RD ,BARANGAY POBLACION,LAKE SEBU",9171272909,,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00623-2024,Sa Balai Lake View Resort,South Cotabato,Lake Sebu,Sitio Lamsufo Brgy. Poblacion,9171496795,sabalailakeview@gmail.com,"October 31, 2025"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00153-2022,Sunrise Garden Lake Resort,South Cotabato,Lake Sebu,Brgy. Lake Seloton,9364169344,,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00699-2024,Tolento Pension House,South Cotabato,Lake Sebu,,,,"October 31, 2025"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00071-2021,Beldent Star Hotel and Restaurant,Sultan Kudarat,Tacurong City,,,,"October 31, 2025"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00108-2022,BF Lodge Tourist Inn (formerly BF Lodge),Sultan Kudarat,Tacurong City,"National Highway, Brgy New Isabela",63 064 562 4917,,"October 31, 2025"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00057-2021,Diversion 21 Drive Inn Lodge,Sultan Kudarat,Tacurong City,Purok San Jose,9159959689,,"October 31, 2025"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00073-2021,La Felle Suites,Sultan Kudarat,Isulan,"National Highway, Dansuli,Isulan,Sultan Kudarat",9058489610,https://www.facebook.com/lafelle.suites.92,"October 31, 2026"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00074-2021,Wyattel Suites,Sultan Kudarat,Tacurong City,"Purok Waya-waya, Brgy. San Emmanuel, Tacurong City, Sultan Kudarat",9659770234,,"October 31, 2025"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00711-2024,Ramfels Paradise Resort,South Cotabato,Lake Sebu,,,,"October 31, 2025"
Region 12,Mabuhay Accommodation,DOT-R12-MAB-00712-2024,Garden By D' Lake Resort,South Cotabato,Lake Sebu,,,,"October 31, 2025"
Region 12,MICE Venue / Facility,DOT-R12-MCF-00246-2023,"CCT Ministry Among Tribespeople (CMAT), Inc.",Sarangani,Malungon,"Sitio Lao, Brgy. Nagpan",9323145501,,"June 30, 2026"
Region 12,MICE Venue / Facility,DOT-R12-MCF-00060-2021,GSX Convention Center (formerly Delia's Bistro),South Cotabato,Koronadal City,,,,"June 30, 2026"
Region 12,MICE Venue / Facility,DOT-R12-MCF-00760-2024,Venue 88 Resort and Events Place Corporation,Chartered City,General Santos City,,,,"June 30, 2026"
Region 12,MICE Venue / Facility,DOT-R12-MCF-00835-25,GSC Suncity Suites,Chartered City,General Santos City,Lagao (1st and 3rd),,,"June 30, 2026"
