Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 9,Travel and Tour Agency,DOT-R09-TTA-01106-2025,EHSAN TRAVEL AND TOURS,Zamboanga del Sur,Zamboanga City,"2nd Floor Safaya Building, Veterans Avenue, Sta. Barbara, Zamboanga City",0917-427-6535,ehsantravel1@gmail.com,"June 30, 2026"
Region 9,Travel and Tour Agency,DOT-R09-TTA-00434-2023,HAPPY CAMPERS TOUR AND LEISURE,Zamboanga del Sur,Zamboanga City,"2F Yang's Hotel, Tomas Claudio St., Zamboanga City",(062) 992-6948,happycampers349@gmail.com,"June 30, 2026"
Region 9,Travel and Tour Agency,DOT-R09-TTA-00193-2021,JMS TICKETING OFFICE,Zamboanga del Sur,Zamboanga City,"118 St. Ignatius, Cabato Road, Zamboanga City",9270487107,jmsticketingoffice@yahoo.com,"June 30, 2026"
Region 9,Travel and Tour Agency,DOT-R09-TTA-00460-2023,ITRAVEL TOURIST LANE,Zamboanga del Sur,Zamboanga City,"Pasay Drive, San Roque, Zamboanga City",(062) 991-1174 / 0917-722-6410,info@itraveltouristlane.com,"June 30, 2026"
Region 9,Travel Agency,DOT-R09-TRA-00275-2021,"SUMMIT WORLD ZAMBOANGA, INC. (SM CITY BRANCH)",Zamboanga del Sur,Zamboanga City,"SM City Mindpro, La Purisima St., Zone III, Zamboanga City",(062) 991-3675 / 993-1166 / 993-1145,summit.zamboanga@gmail.com,"June 30, 2026"
Region 9,Travel Agency,DOT-R09-TRA-00431-2023,"SUMMIT WORLD ZAMBOANGA, INC. (KCC Mall BRANCH)",Zamboanga del Sur,Zamboanga City,"KCC MALL DE ZAMBOANGA, GOVERNOR CAMINS AVENUE, CAMINO NUEVO, Zamboanga City",9177101968,swzamkcc@gmail.com,"June 30, 2026"
Region 9,Travel Agency,DOT-R09-TRA-00814-2024,TICKET ONE BUSINESS CENTER,Zamboanga del Sur,Zamboanga City,"Gov. Lim Avenue, Brgy. Zone IV, Zamboanga City",0917 301 6702,ticketone@ymail.com,"June 30, 2026"
Region 9,Travel Agency,DOT-R09-TRA-00827-2024,TICKET1,Zamboanga del Sur,Zamboanga City,"Mayor Ledesma Street, cor. M. Calixto Street, Brgy. Zone I, Zamboanga City",0917 302 3144,ticket1calixto@gmail.com,"June 30, 2026"
Region 9,Travel Agency,DOT-R09-TRA-00873-2024,REIC TICKET CENTER,Zamboanga del Sur,Zamboanga City,"Baliwasan San Jose Road cor. Chico Road, Baliwasan, Zamboanga City",0905 963 1950,reicticketcenter03@gmail.com,"June 30, 2026"
Region 9,Tour Operator,DOT-R09-TOP-00499-2023,TOURZAMBOANGA BOOKING SERVICES,Zamboanga del Sur,Zamboanga City,"Gate 1 Purok 8, Kalasahan Village,Calarian, Zamboanga City",0991 488 5703,tourzamboanga.ph@gmail.com,"June 30, 2026"
Region 9,Travel and Tour Agency,DOT-R09-TTA-00170-2021,ROSE TRAVEL AND TOURS,Zamboanga del Sur,Zamboanga City,"RIZAL AVENUE SAN PEDRO DISTRICT PAGADIAN CITY, ZAMBOANGA DEL SUR",0910 667 0318,rosetravelandtours@yahoo.com,"June 30, 2026"
Region 9,Travel and Tour Agency,DOT-R09-TTA-00434-2023,HAPPY CAMPERS TOUR AND LEISURE,Zamboanga del Sur,Zamboanga City,"2F YANG'S HOTEL, T. CLAUDIO ST. ZAMBOANGA CITY",062-9926948,happycampers349@gmail.com,"June 30, 2026"
Region 9,Travel Agency,DOT-R09-TRA-00107-2021,"SUMMIT WORLD ZAMBOANGA, INC.",Zamboanga del Sur,Zamboanga City,"Tomas Castillo Road, Baliwasan, Zamboanga City",062-9913675,sw_zam@yahoo.com,"June 30, 2026"
Region 9,Travel and Tour Agency,DOT-R09-TTA-00190-2021,TKETS2GO TICKET SALES OFFICE,Zamboanga del Sur,Zamboanga City,"La Purisima St., Cor. I. Magno St., Zone IV, Zamboanga City",0999 882 4141,imboade@yahoo.com.ph,"June 30, 2026"
Region 9,Travel Agency,DOT-R09-TRA-00383-2022,TICKET 1,Zamboanga del Sur,Zamboanga City,"Governor Lim Avenue, Brgy. Camino Nuevo, Zamboanga City",0917 302 5378,ticket1kcc@yahoo.com,"June 30, 2026"
Region 9,Travel and Tour Agency,DOT-R09-TTA-00191-2021,TRAVELMAX TRAVEL AND TOURS,Zamboanga del Sur,Zamboanga City,"Airport Road, Baliwasan, Zamboanga City",0921 598 8888 / (062) 955 9760,knowelle_88@yahoo.com,"June 30, 2026"
Region 9,Travel and Tour Agency,DOT-R09-TTA-00326-2022,SHEL TRAVELMATE TRAVEL AND TOURS,Zamboanga del Sur,Zamboanga City,"46C Marquez Drive , Brgy. Tetuan, Zamboanga City",0977 249 2939,sheltravelmate@gmail.com,"June 30, 2026"
Region 9,Travel and Tour Agency,DOT-R09-TTA-00863-2024,AIR SAVINGS TRAVEL AND TOURS,Zamboanga del Sur,Zamboanga City,"6 Crispin Atilano Street, Brgy. Tetuan, Zamboanga City",0917 799 2193,reservations.airsavingstravel@gmail.com,"June 30, 2026"
Region 9,Travel and Tour Agency,DOT-R09-TTA-00893-2024,AMEIZING TRAVEL AND TOURS,Zamboanga del Sur,Zamboanga City,"Door 2, LK3 Bldg. Gov. Alvarez St. Camino Nuebo Zamboanga City",0995 820 6439,ameizingtravelandtours@gmail.com,"June 30, 2026"
Region 9,Travel and Tour Agency,DOT-R09-TTA-01008-2024,GENTRYY TRAVEL & TOURS,Zamboanga del Sur,Zamboanga City,12-A Deleon Subdivision Sampaguita Road Tumaga Zamboanga City,0935 731 6218,eunice.malaay24@gmail.com,"June 30, 2026"
Region 9,Travel and Tour Agency,DOT-R09-TTA-01065-2025,ZAMZAM TRAVEL AGENCY INC.,Zamboanga del Sur,Zamboanga City,"YUBENCO,BRGY. BRGY. TETUAN, ZAMBOANGA CITY, ZAMBOANGA DEL SUR",0961 518 1827,zamzam.travel.ph@gmail.com,"June 30, 2026"
Region 9,Travel and Tour Agency,DOT-R09-TTA-01079-2025,CTPH LIFESTYLE & TRAVEL SERVICES,Zamboanga del Sur,Zamboanga City,"MCLL HI-WAY, BRGY. GUIWAN, ZAMBOANGA CITY, ZAMBOANGA DEL SUR","0955 6837 462, 0909 6476 343",ctphpartners@gmail.com,"June 30, 2026"
Region 9,Travel and Tour Agency,DOT-R09-TTA-01100-2025,VIAJES TRAVEL AND TOURS,Zamboanga del Sur,Zamboanga City,"P. Reyes Street, Brgy., Zone II, Zamboanga City","0906 570 7200, 0917 545 7839",viajesunica@hotmail.com,"June 30, 2026"
Region 9,Travel Agency,DOT-R09-TRA-00894-2024,TICKET1,Chartered City,Isabela City,"N. Valderosa Street,, Isabela City, Basilan",0917 137 2337,ticket1isabela@yahoo.com,"June 30, 2026"
Region 9,Travel and Tour Agency,DOT-R09-TTA-00493-2023,ASIAN TRAVEL AND TOURS,Zamboanga del Sur,Pagadian City,"Block 12 Lot 14, Alta Tierra Subd., Napolan, Pagadian City",(062) 215-2795,max_tesoro@yahoo.com,"June 30, 2026"
,,,,,,,0928-580-2340,,
Region 9,Travel and Tour Agency,DOT-R09-TTA-00102-2021,MTR TRAVEL SPECIALISTS,Zamboanga del Sur,Pagadian City,"V. Sagun St., San Francisco (Pob.), Pagadian City",0930-061-1690 / 0997-745-2957,mtrtravel2021@gmail.com,"June 30, 2026"
,,,,,,,,mtrtravelvic@gmail.com,
Region 9,Travel Agency,DOT-R09-TRA-00231-2021,TICKET1 TRAVEL,Zamboanga del Sur,Pagadian City,"Upper Ground Floor Gaisano Capital, San Pedro District, Pagadian City, Zamboanga del Sur",(062 )955 1111,ticketonepagadian@yahoo.com,"June 30, 2026"
Region 9,Travel and Tour Agency,DOT-R09-TTA-00395-2022,RMV TRAVEL & TOURS,Zamboanga del Sur,Pagadian City,"320 Rizal Avenue, Santa Lucia, Pagadian City",9355151743,rmv2015travelandtours@gmail.com,"June 30, 2026"
Region 9,Travel and Tour Agency,DOT-R09-TTA-00118-2021,CABERTE TRAVEL AND TOURS,Zamboanga del Sur,Pagadian City,"2nd Floor, JF Caberte Building, Rizal Avenue, PAgadian City, Zamboanga del Sur",62-9252091,fscaberte@yahoo.com,"June 30, 2026"
Region 9,Travel Agency,DOT-R09-TRA-00393-2022,EASY TRAVELS AND LEISURE PAGADIAN,Zamboanga del Sur,Pagadian City,"G/F Chandler Suites, F. S. Pajares Ave, Gatas Dist., Pagadian City",0908 867 1161,etlpagadian@gmail.com,"June 30, 2026"
Region 9,Travel and Tour Agency,DOT-R09-TTA-00098-2021,ZAMSURGEA CMPC TRAVEL AND TOURS,Zamboanga del Sur,Pagadian City,"FF#82 C3 Mall, Santiago District, Pagadian City",0946 646 9995,zamsurgeacmpcticketingoffice@gmail.com,"June 30, 2026"
