Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 1,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R01-FTC-02955-2025,MALAKAS FARM LIVELIHOOD DEVELOPMENT ENTERPRISES,Ilocos Sur,San Juan,"Sitio Malakas, Brgy. Muraya, San Juan, Ilocos Sur",9175684053,,"April 8, 2027"
Region 1,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R01-AGT-00587-2021,NSCC AGRI-TOURISM FARMVILLE,Ilocos Sur,Caoayan,"Don Alejandro Quirolgico, Caoayan, Ilocos Sur",077-722-3281,https://www.coop-nscc.com,"April 7, 2027"
Region 1,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R01-AGT-02013-2024,CENTER FOR BAMBOO DEVELOPMENT INC.,La Union,Pugo,PUROK 4 AMBALITE,9338142328,,"January 16, 2026"
Region 1,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R01-FTC-02808-2025,IBIT'S INTEGRATED FARM,La Union,San Fernando City,"Masicong, San Fernando City, La Union",0927 642 8745,,"February 28, 2027"
Region 1,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R01-FTC-02860-2025,MONSTERPOT PLANT NURSERY,La Union,Bacnotan,"Brgy. Mangayap, Bacnotan, La Union",9663312497,,"March 11, 2027"
Region 1,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R01-AGT-01219-2022,LOMBOY FARMS,La Union,Bauang,"URAYONG, BAUANG, LA UNION",9672854121,,"April 2, 2027"
Region 1,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R01-FTC-02169-2024,DON ISLAO FARMHOUSE,Pangasinan,Burgos,"Sitio Cabicalan, Sitio, Papallasen",9178024668,https://donislao.com/,"June 18, 2026"
Region 1,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R01-AGT-00682-2021 (M),OFR OUR FARM REPUBLIC INTEGRATED ORGANIC FARMS,Pangasinan,Mangatarem,"Sitio Mangga, Brgy. Torre 2nd",09478532342 / 075-6335322,,"November 10, 2026"
Region 1,Apartment Hotel,DOT-R01-APT-01527-2023,DE GUZMAN BEACH RESORT,Pangasinan,Dasol,"Brgy. Tambobong, Dasol, Pangasinan",9957401857,Http://tambobongresort.com/,"October 31, 2026"
Region 1,Gallery / Museum,DOT-R01-MSM-01275-2022,BATO DE LUNA ART GALLERY,La Union,Luna,"Nalvo Norte, Luna, La Union",9498442222,,"December 10, 2025"
Region 1,Gallery / Museum,DOT-R01-MSM-01694-2023,BAHAY NA BATO OPEN ART GALLERY AND MUSEUM,La Union,Luna,"Nalvo Norte, Luna, La Union",9178170211,,"December 11, 2025"
Region 1,Homestay,DOT-R01-HMY-00061-2021,5R'S TRANSIENT HOUSE,Ilocos Norte,Pagudpud,"Sitio Malingay, Brgy. Balaoi, Pagudpud, Ilocos Norte",9982649988,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01267-2022,ADEL'S HOMESTAY,Ilocos Norte,Pagudpud,"Sitio Del Mar, Brgy. Saud, Pagudpud, Ilocos Norte",09289166167/09185010117,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01254-2022,AERESNAH'S HOMESTAY,Ilocos Norte,Pagudpud,"Brgy. Balaoi, Pagudpud, Ilocos Norte",9489696686,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-00359-2021,ARLYN V. DANAO HOMESTAY,Ilocos Norte,Pagudpud,"Sitio Maligaya, Brgy. Saud, Pagudpud, Ilocos Norte",9185698886,,"October 31, 2026"
