Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 7,Ambulatory Clinic,DOT-R07-AMC-03759-2025,Bright Smiles Oral Care Center Co.,Cebu,Cebu City,"Rm.415 4th Floor, Velez Medical Arts Bldg., V. Ranudo St., Brgy. Cogon Ramos, Cebu City",0923-4188996,-,"January 3, 2026"
Region 7,Ambulatory Clinic,DOT-R07-AMC-03590-2024,Chong Hua Health Services Inc.,Cebu,Cebu City,"Chong Hua Medical-Medical Mall, J. Llorente St., Brgy. Capitol Site, Cebu City",(032) 367-8000,-,"October 2, 2025"
Region 7,Ambulatory Clinic,DOT-R07-AMC-04166-2025,The Hospital at Maayo,Cebu,Mandaue City,"North Park, UN Ave. Cor. Plaridel St., Brgy. Alang-alang, Mandaue City, Cebu",(032) 888-2662,-,"April 11, 2026"
Region 7,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R07-AGT-01185-2022,Southfarm Panglao Bohol,Bohol,Panglao,"Purok 4, Brgy. Bolod, Panglao, Bohol",(038) 501-3000,-,"September 11, 2026"
Region 7,Apartment Hotel,DOT-R07-APT-00075-2021,Alicia Apartelle,Cebu,Cebu City,"Governor Cuenco Ave., Brgy. Banilad, Cebu City",(032) 239-2469,-,"October 31, 2026"
Region 7,Apartment Hotel,DOT-R07-APT-01102-2022,Citadines Cebu City,Cebu,Cebu City,"G/F Base Line Center, Juana Osmena St., Brgy. Capitol Site (Pob.), Cebu City",(032) 260-9588,-,"October 31, 2026"
Region 7,Apartment Hotel,DOT-R07-APT-03669-2024,Lyf Cebu,Cebu,Cebu City,"Tower 3, Baseline Center, Juana Osmeña St., Brgy. Capitol Site, Cebu City",(032) 380-1980,https://www.facebook.com/lyf.cebucity/,"October 31, 2026"
Region 7,Apartment Hotel,DOT-R07-APT-03782-2025,Treewoods Residences by Alicia,Cebu,Cebu City,"Apas Road, Sitio San Miguel, Brgy. Apas, CebU City",(032) 503-4824,https://www.treewoodsresidences.com,"October 31, 2026"
Region 7,Apartment Hotel,DOT-R07-APT-01641-2023,C Suites,Cebu,Lapu-lapu City,"A-1028 Newtown, Mactan Newtown, Brgy. Mactan, Lapu-Lapu City",(032) 494-2467 / 0917-8253114,https://www.csuites-8nt.com/,"October 31, 2025"
Region 7,Apartment Hotel,DOT-R07-APT-00914-2021,Tambuli Seaside Resort and Spa,Cebu,Lapu-lapu City,"Buyong Road, Brgy. Maribago, Lapu-lapu City",(032) 236-0888,https://tambuliseasideresortandspa.com,"October 31, 2025"
Region 7,Apartment Hotel,DOT-R07-APT-00799-2021,Palm View Residence Resort,Bohol,Panglao,"Purok 2, Brgy. Tawala, Panglao, Bohol",0929-6991057,https://www.facebook.com/palmviewpanglao,"October 31, 2026"
Region 7,Apartment Hotel,DOT-R07-APT-00057-2021,Green Turtle Residences,Negros Oriental,Zamboanguita,"Brgy. Maluay, Zamboanguita, Negros Oriental",0917-3042564,-,"October 31, 2026"
Region 7,Dental Clinics for Dental Tourism,DOT-R07-DC-03474-2024,Gan Advanced Osseointegration Center,Cebu,Cebu City,"3rd Flr. Unit 3002, SM Seaside Mall SRP, Cebu City",0917-8404262,https://www.gaocdental.com/,"August 20, 2026"
Region 7,Homestay,DOT-R07-HMY-00296-2021,Dapdap Sunset Grill,Siquijor,Siquijor,"Brgy. Pangi, Siquijor, Siquijor",0917-7055503 / 0928-5080177,https://dapdapsunsetgrill.com,"October 31, 2025"
Region 7,Homestay,DOT-R07-HMY-03502-2024,Isla-Mystica Beach Resort,Siquijor,San Juan,"Brgy. Timbaon, San Juan, Siquijor",0969-4217173,-,"October 31, 2026"
Region 7,Homestay,DOT-R07-HMY-02389-2024,Lazi Casamira Homestay,Siquijor,Lazi,"52 J. Romero St., Brgy. Catamboan, Lazi, Siquijor",0917-3097890,-,"October 31, 2026"
Region 7,Homestay,DOT-R07-HMY-03503-2024,MRB Space Rental,Siquijor,San Juan,"Brgy. Tubod, San Juan, Siquijor",0999-3482057,-,"October 31, 2026"
Region 7,Homestay,DOT-R07-HMY-00445-2021,Omandam Homestay,Siquijor,Siquijor,"Brgy. Cantabon, Siquijor, Siquijor",0975-2912479,-,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-03381-2024,Amethyst Boutique Hotel Cebu,Cebu,Cebu City,"M. Velez St., Brgy. Capitol Site, Cebu City",(032) 260 9350 / 0917-1485663,https://www.amethystboutiquehotelcebu.com/,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-00698-2021,Bayfront Hotel Cebu - Capitol Site,Cebu,Cebu City,"M.P. Yap corner F. Ramos Ext. St., Brgy. Capitol Site, Cebu City",(032) 505-3333,https://capitolsite.bayfronthotelcebu.com/,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-00456-2021,Bayfront Hotel Cebu - North Reclamation,Cebu,Cebu City,"Kaohsiung St., North Reclamation Area, Brgy. Mabolo, Cebu City",(032) 230-6777,https://northreclamation.bayfronthotelcebu.com/,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-01991-2023,Best Western Plus Lex Cebu,Cebu,Cebu City,"N. Escario St., cor. Juana Osmeña, Brgy. Camputhaw, Cebu City",(032) 511-8558,-,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-03298-2024,Castle Peak Hotel,Cebu,Cebu City,"F. Cabahug cor. Pres. Quezon St., Brgy. Mabolo, Cebu City",0917-7008727,https://castlepeakhotel.net/,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-01708-2023,Cebu Business Hotel,Cebu,Cebu City,"Colon corner Junquera Sts., Brgy. Parian, Cebu City",(032) 255-6010,-,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-00834-2021,Cebu Hilltop Hotel,Cebu,Cebu City,"Veterans Drive, Nivel Hills, Brgy. Busay, Cebu City",(032) 260-7864 / (032) 417-1040,-,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-01603-2023,Cebu Northwinds Hotel,Cebu,Cebu City,"Salinas Drive, Brgy. Lahug, Cebu City",(032) 233-0311,https://www.cebunorthwindshotel.net,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-03519-2024,Cebu Parklane International Hotel,Cebu,Cebu City,"Corner Archbishop Reyes Avenue & Escario St., Brgy. Camputhaw, Cebu City",(032) 234-7000,https://www.parklanehotel.com.ph/,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-03148-2024,Cebu Quincentennial Hotel,Cebu,Cebu City,"Cardinal Rosales Ave. cor Pope John Paul II, Brgy, Luz, Cebu City",(032) 520-4488,https://cebuquincentennialhotel.com,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-03657-2024,Crown Regency Hotel and Towers,Cebu,Cebu City,"Fuente Osmeña, Brgy. Capitol Site, Cebu City",(032) 418-8888,https://www.crownregency.com/,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-01672-2023,Cuarto Hotels,Cebu,Cebu City,"15 Corner J. Llorente and Don Gil Garcia Sts., Brgy. Capitol Site, Cebu City",0917-7730060,-,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-04419-2025,Diamond Suites & Residences,Cebu,Cebu City,"No. 8 Apitong cor. Escario Sts., Brgy. Camputhaw, Cebu City",(032) 268-0860,-,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-00855-2021,Escario Central Hotel,Cebu,Cebu City,"N. Escario St., Brgy. Camputhaw, Cebu City",(032) 520-2222 / (032) 520-7089,-,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-01810-2023,Fili Urban Resort,Cebu,Cebu City,"Kawit Island, South Road Properties, Brgy. Mambaling, Cebu City",(032) 888-8282,https://nustar.ph,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-02337-2024,Goldberry Suites & Hotel Cebu,Cebu,Cebu City,"Escario St., cor Gonzales Compound Road, Brgy. Camputhaw, Cebu City",(032) 266-0000,https://www.goldberrysuites.com,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-00721-2021,Golden Peak Hotel & Suites,Cebu,Cebu City,"Gorordo Ave. cor. Escario St., Brgy. Camputhaw, Cebu City",0930-9693610,-,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-00476-2021,Golden Prince Hotel & Suites,Cebu,Cebu City,"Acacia St. cor. Archbishop Reyes Ave., Brgy. Camputhaw, Cebu City",(032) 233-8660,https://www.goldenprincehotel.com,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-00525-2021,Golden Valley Hotel,Cebu,Cebu City,"155-A Pelaez Street, Brgy. Kamagayan, Cebu City",(032) 253-8660,https://www.goldenvalleyhotel.net,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-00524-2021,Harolds Evotel,Cebu,Cebu City,"146 Gorordo Ave. cor. Rosal St., Brgy. Kamputhaw, Cebu City",(032) 505-7777 / 0917-7118828,https://www.haroldshotel.com.ph/,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-03756-2025,Hayat Sky Towers,Cebu,Cebu City,"Veterans Drive, Brgy. Busay, Cebu City",0917-7088935,-,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-03653-2024,Holiday Inn Cebu City,Cebu,Cebu City,"Lot 5&6 Block 20, Samar Loop, Cebu Business Park, Brgy. Mabolo, Cebu City",(032) 520-4444,http://www.holidayinn.com/cebucity,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-03616-2024,Hop Inn,Cebu,Cebu City,"Lot 5&6 Block 20, Samar Loop, Cebu Business Park, Brgy. Hippodromo, Cebu City",(032) 520-4400,https://www.hopinnhotel.com/,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-02013-2023,Hotel Fortuna,Cebu,Cebu City,"Borromeo St., Brgy. Kalubihan, Cebu City",0917-3188090,https://sugbosoft.com/,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-01579-2023,Mandarin Plaza Hotel,Cebu,Cebu City,"Archbishop Reyes Avenue cor. Escario St., Brgy. Camputhaw, Cebu City",(032) 266-1111,http://www.mandarinplazahotel.com,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-01441-2022,Mezzo Hotel,Cebu,Cebu City,"F. Cabahug cor. Pres. Quezon St., Brgy. Mabolo, Cebu City",(032) 231-0777,https://www.mezzohotel.com,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-03706-2024,MJ Hotel and Suites,Cebu,Cebu City,"80 Apitong St., Brgy. Camputhaw, Cebu City",0926-7126364,-,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-00645-2021,Montebello Villa Hotel,Cebu,Cebu City,"Gov. M. Cuenco Ave. Brgy. Apas, Cebu City",(032) 256-5000,www.montebello.ph,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-01349-2022,One Central Hotel,Cebu,Cebu City,"Leon Kilat St. cor. Sanciangko St., Brgy. Pahina Central, Cebu City",(032) 888-8000,https://onecentralhotel.com/,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-01504-2022,Quest Hotel and Conference Center Cebu,Cebu,Cebu City,"Archbishop Reyes Avenue, Brgy. Camputhaw, Cebu City",(032) 230-5888,http://www.questhotelsandresorts.com/cebu,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-03730-2024,Radisson Blu Hotel Cebu,Cebu,Cebu City,"Seging Osmeña Blvd. cor. Juan Luna Ave., Brgy. Mabolo, Cebu City",(032) 402-9900 / 0917-5578130,https://www.radissonhotels.com/en-us/hotels/radisson-blu-cebu,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-00748-2021,Richmond Plaza Hotel,Cebu,Cebu City,"F. Sotto Drive, Gorordo Avenue, Brgy. Camputhaw, Cebu City",(032) 232-0361 / 0969-5340326,http://www.richmondhotelcebu.com,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-01114-2022,S Hotel & Residences,Cebu,Cebu City,"827 M. Velez Street, Brgy. Guadalupe, Cebu City",(032) 255-1888,https://shotel.ph/,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-01424-2022,Sarrosa International Hotel & Residential Suites,Cebu,Cebu City,"F. Cabahug St. cor. Pres. Quirino St., Brgy. Kasambagan, Cebu City",(032) 232-5811 to 18,https://www.sarrosahotel.com/,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-00492-2021,Seda Ayala Center Cebu,Cebu,Cebu City,"Cardinal Rosales Ave., Cebu Business Park, Brgy. Luz, Cebu City",(032) 411-5800,https://ayalacentercebu.sedahotels.com,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-01475-2022,Seda Central Bloc Cebu,Cebu,Cebu City,"V. Padriga Street, Cebu IT Park, Brgy. Apas, Cebu City",(032) 410-8899,https://centralbloccebu.sedahotels.com/,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-00907-2021,St. Mark Hotel,Cebu,Cebu City,"Queens Rd., Redemptourist Plaza, Don Ramon Aboitiz St., Brgy. Camputhaw, Cebu City",(032) 505-5555 / 0917-7957620,https://www.stmarkhotel.ph/,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-00082-2021,Summit Galleria Cebu,Cebu,Cebu City,"Gen Maxilom Ave. cor. B. Benedicto St., Tejero, Cebu City",(032) 888-1777,https://www.summithotels.ph/hotels/summit-galleria-cebu,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-01407-2022,The Marco Polo Plaza Cebu,Cebu,Cebu City,"Cebu Veterans Drive, Nivel Hills, Brgy. Apas, Cebu City",(032) 253-1111,https://www.marcopolohotels.com/en/hotels/philippines/cebu/marco_polo_plaza/index.html,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-01448-2022,The Maxwell Hotel,Cebu,Cebu City,"N. Escario St., Brgy. Camputhaw, Cebu City",(032) 342-7546,-,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-00050-2021,Waterfront Cebu City Hotel & Casino,Cebu,Cebu City,"Salinas Drive, Brgy. Lahug, Cebu City",(032) 232-6888,https://www.waterfronthotels.com.ph/waterfront-cebu-city-hotel-casino/,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-03712-2024,Waterworld Cebu,Cebu,Mandaue City,"UN Avenue, Brgy. Opao, Mandaue City, Cebu",0927-0791288,https://waterworld.com.ph/,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-01601-2023,Yello Hotel,Cebu,Cebu City,"Wilson St., Brgy. Apas, Cebu City",(032) 346-7775 / 0917-8494964,https://yellohotel.ph/,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-02035-2023,Waterfront Airport Hotel & Casino Mactan,Cebu,Lapu-lapu City,"No.1 Airport Road, Pusok, Lapu Lapu City",(032) 340-4888,https://www.waterfronthotels.com.ph/waterfront-airport-hotel-casino/,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-02047-2023,1521 Hotel,Cebu,Lapu-lapu City,"Brgy. Mactan, Lapu-lapu City",(032) 262-4119/ 0917-6266715,http://www.1521hotel.com.ph,"October 31, 2025"
